                    src1.py  src2.py  src3.py
LOAD_CONST             13.0     22.0     15.0
BUILD_LIST              2.0      0.0      3.0
STORE_FAST              6.0      1.0      2.0
SETUP_LOOP              2.0      0.0      1.0
LOAD_GLOBAL             5.0      7.0      0.0
LOAD_FAST              13.0     18.0      7.0
CALL_FUNCTION           6.0      7.0      2.0
BINARY_SUBTRACT         2.0      3.0      0.0
GET_ITER                2.0      0.0      1.0
FOR_ITER                2.0      0.0      1.0
LOAD_METHOD             2.0      0.0      1.0
BINARY_SUBSCR           3.0      0.0      0.0
BINARY_ADD              2.0      1.0      1.0
CALL_METHOD             2.0      0.0      1.0
POP_TOP                 3.0      7.0      2.0
JUMP_ABSOLUTE           2.0      1.0      1.0
POP_BLOCK               2.0      0.0      1.0
RETURN_VALUE            3.0      2.0      4.0
MAKE_FUNCTION           2.0      1.0      3.0
BUILD_SLICE             1.0      0.0      0.0
STORE_NAME              1.0      2.0      1.0
BINARY_MULTIPLY         0.0      6.0      0.0
BINARY_TRUE_DIVIDE      0.0      4.0      0.0
COMPARE_OP              0.0      4.0      0.0
JUMP_FORWARD            0.0      3.0      0.0
POP_JUMP_IF_FALSE       0.0      4.0      0.0
UNARY_NEGATIVE          0.0      3.0      0.0
IMPORT_NAME             0.0      1.0      0.0
IMPORT_FROM             0.0      1.0      0.0
LOAD_NAME               0.0      1.0      1.0
BUILD_TUPLE             0.0      0.0      1.0
BINARY_POWER            0.0      0.0      1.0
